player,picks
freddy,
xjcarter,HOU|PIT|DEN|WAS|BUF|JAX|DAL|NO|GB|CLE|PHI|BAL
ronnyb,
richard11,
golfballs,
buster10,
bobby10,HOU|PIT|DEN|WAS|BUF|JAX|DAL|NO|GB|CLE|ATL
jenlo,
greyworm,
rubbleb99,
cowboy11,
burner123,
summy100,
pfunkadelic,
shocker,
lollipop13,
duchess,
pammie,
meanjoe,
ronnyb12,
dale123,
